HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_days,Male_maturity_days,Gestation_or_Incubation_days,Weaning_days,Clutch_size,Clutches_per_year,Interbirth_interval,Birth_weight_g,Weaning_weight_g,Adult_weight_g,Growth_rate,Maximum_longevity_yrs,Source,Specimen_origin,Sample_size,Data_quality,IMR_per_year,MRDT_yrs,Metabolic_rate_W,Body_mass_g,Temperature
2470,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Carlito,syrichta,Philippine tarsier,NotKnow,NotKnow,179,83,1,NULL,NULL,25.9,NULL,119.2,NULL,16,671,captivity,tiny,acceptable,NULL,NULL,0.43,113,306.95
2471,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Cephalopachus,bancanus,Western tarsier,920,NotKnow,178,80,1,1.5,270,24.6,NULL,122.5,NULL,16.3,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2472,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,tarsier,Spectral tarsier,425,425,157,69,1,2.4,153,24.3,NULL,144.8,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.831,173,309.15
2473,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,maximus,Asiatic elephant,3287,3287,644,548,1,0.2,1141,107000,NULL,3178000,NULL,65.5,671,captivity,large,acceptable,NULL,NULL,2336.5,3672000,308.95
2474,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,African bush elephant,4018,3650,670,1071,1,0.2,1707,105000,600000,4800000,0.0003,65,671,captivity,large,acceptable,0.002,8,NULL,NULL,309.35
2475,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,bennettii,Bennett's chinchilla rat,NotKnow,NotKnow,NotKnow,NotKnow,3,2,NULL,NULL,NULL,265.5,NULL,2.3,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2476,Animalia,Chordata,Mammalia,Rodentia,Aplodontiidae,Aplodontia,rufa,Mountain beaver,730,730,29,56,2.75,1,365,25.5,393,1125,0.0288,NULL,unknown,unknown,small,low,NULL,NULL,1.892,706.8,311.15
2477,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,anselli,Ansell's mole-rat,365,365,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,90,0.006,20.6,"Philip Dammann and Hynek Burda, pers. comm.",captivity,medium,acceptable,NULL,2,NULL,NULL,unknown
2478,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,damarensis,Damaraland mole-rat,511,NotKnow,93,83,2.5,1,NULL,9,NULL,180,NULL,15.5,"Bruce Goldman, pers. comm.",captivity,medium,acceptable,NULL,NULL,0.418,131.3,308.35
2479,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,hottentotus,African mole rat,450,NotKnow,81,46,2.86,1.5,132,8.63,26.1,132.5,NULL,11,671,captivity,small,questionable,NULL,NULL,0.35,78.9,307.55
2480,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,mechowi,Giant mole-rat,NotKnow,NotKnow,112,65,2.6,NULL,112,19.6,NULL,250,0.006,16,957,captivity,medium,questionable,NULL,NULL,NULL,NULL,307.15
2481,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Georychus,capensis,Cape mole-rat,304,304,44,17,5,2,NULL,8.4,36,181,NULL,11.2,671,captivity,tiny,questionable,NULL,NULL,0.637,193,309.55
2482,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heliophobius,argenteocinereus,Silvery mole-rat,NotKnow,NotKnow,88,NotKnow,2,1.2,NULL,7,NULL,160,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.43,88.5,308.25
2483,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus,glaber,Naked mole-rat,228,NotKnow,70,36,7,3.5,81,2,11,35,0.0046,31,"Rochelle Buffenstein, pers. comm.",captivity,large,high,NULL,NULL,0.128,35.3,305.25
2484,Animalia,Chordata,Mammalia,Rodentia,Calomyscidae,Calomyscus,bailwardi,Mouse-like hamster,NotKnow,NotKnow,NotKnow,NotKnow,3.3,1,NULL,NULL,NULL,20.4,NULL,9.4,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2485,Animalia,Chordata,Mammalia,Rodentia,Calomyscidae,Calomyscus,mystax,Afghan mouse-like hamster,NotKnow,NotKnow,NotKnow,NotKnow,5,2,NULL,NULL,NULL,20.4,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2486,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Capromys,pilorides,Desmarest's hutia,304,304,125,100,2,NULL,NULL,240,NULL,4683.3,0.008,13.8,671,captivity,small,acceptable,NULL,NULL,3.375,2630,308.85
2487,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Geocapromys,brownii,Brown's hutia,365,NotKnow,123,NotKnow,2,2,168,NULL,NULL,1500,NULL,13.5,671,captivity,small,acceptable,NULL,NULL,4.11,2456,309.15
2488,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Geocapromys,ingrahami,Bahamian hutia,730,730,117,53,1,NULL,325,80,250,660,0.0124,NULL,unknown,unknown,small,low,NULL,NULL,1.483,775,309.15
2489,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Plagiodontia,aedium,Hispaniolan hutia,NotKnow,NotKnow,119,NotKnow,1,NULL,NULL,105.85,NULL,1267,0.0092,15.9,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2490,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,canadensis,American beaver,639,639,128,60,3.5,1,365,430,NULL,20250,NULL,23.4,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2491,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,fiber,Eurasian beaver,639,639,105,76,3,1,365,530,4200,25000,0.0104,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2492,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,aperea,Brazilian guinea pig,74,77,63,17,2.5,5,NULL,59.66,171.1,341,NULL,6,671,captivity,large,high,NULL,NULL,NULL,NULL,unknown
2493,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,Guinea pig,66,76,68,18,3.8,5,96,85,228,728,0.0106,12,"J. Veronica Kiklevich, pers. comm.",captivity,large,high,NULL,NULL,2.13,639.1,312.15
2494,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,tschudii,Montane guinea pig,62,NotKnow,64,NotKnow,1.9,5,NULL,NULL,NULL,637.5,NULL,6.3,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2495,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Dolichotis,patagonum,Patagonian mara,158,183,85,65,2,3.5,100,561.94,NULL,12500,NULL,14.4,671,captivity,large,high,NULL,NULL,NULL,NULL,unknown
2496,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,musteloides,Common yellow-toothed cavy,66,60,54,39,2.63,7,53,37.99,136.8,337.9,0.0181,3.5,671,captivity,small,acceptable,NULL,NULL,1.473,322,310.45
2497,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,spixii,Spix's yellow-toothed cavy,70,112,53,42,2.5,6.5,53,40,NULL,450,NULL,4.6,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2498,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Capybara,456,456,150,103,4.8,1.25,245,1500,8299,55000,NULL,15.1,671,captivity,large,high,NULL,NULL,36.754,26385,310.25
2499,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Kerodon,rupestris,Rock cavy,151,NotKnow,75,35,1.5,5,86,76,NULL,950,NULL,12.9,671,captivity,medium,acceptable,NULL,NULL,2.011,801,311.35
2500,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,lanigera,Long-tailed chinchilla,240,240,111,54,2,2,NULL,35,NULL,642.5,NULL,17.2,671,captivity,large,acceptable,NULL,NULL,1.31,436.7,307.85
2501,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagidium,peruanum,Peruvian mountain viscacha,365,365,140,59,1,2,NULL,180,NULL,1250,NULL,NULL,unknown,unknown,tiny,low,NULL,NULL,NULL,NULL,unknown
2502,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagidium,viscacia,Mountain viscacha,NotKnow,NotKnow,134,NotKnow,1.5,NULL,NULL,260,NULL,1540,NULL,19.5,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2503,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagostomus,maximus,Plains viscacha,258,456,154,54,2,1.8,NULL,200,652.2,6000,NULL,10.8,671,captivity,medium,acceptable,NULL,NULL,10.623,6794,309.95
2504,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,argentatus,Silver mountain vole,NotKnow,NotKnow,NotKnow,NotKnow,3.6,2.5,NULL,NULL,NULL,37.7,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.675,37.7,unknown
2505,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,semicanus,Mongolian silver vole,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.8,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2506,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,strelzowi,Flat-headed vole,NotKnow,NotKnow,20,17,7.7,2.2,NULL,3,15,50,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2507,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,amphibius,European water vole,51,45,21,14,5.1,3.2,32,5,42,120,0.0573,2.5,671,captivity,tiny,acceptable,NULL,NULL,0.613,94.7,310.65
2508,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,taylori,Northern pygmy mouse,44,75,20,21,3,10,24,1.2,3.6,8,0.0425,3.3,637,captivity,small,acceptable,NULL,NULL,0.095,7.2,309.15
2509,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,barabensis,Striped dwarf hamster,NotKnow,NotKnow,NotKnow,20,5.3,NULL,NULL,2,14,NULL,NULL,5.3,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,310.05
2510,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,cricetus,Black-bellied hamster,43,56,20,23,7,2,131,7,105,506.7,NULL,3.6,671,captivity,small,acceptable,NULL,NULL,1.251,365.3,312.65
2511,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Collared lemming,40,85,20,16,3.4,8.5,26,4.35,23,66,0.0402,3.3,434,unknown,medium,acceptable,NULL,NULL,0.459,56.8,311.55
2512,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,richardsoni,Richardson's collared lemming,91,NotKnow,21,19,3.5,NULL,NULL,4,NULL,55,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2513,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,Arctic lemming,91,NotKnow,18,19,4.07,2,23,2.97,25.5,85,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2514,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Eligmodontia,typus,Highland gerbil mouse,49,NotKnow,18,18,5.6,NULL,NULL,1.725,NULL,21.4,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.167,17.5,309.55
2515,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,talpinus,Northern mole vole,NotKnow,NotKnow,26,NotKnow,3.7,4,35,NULL,NULL,40,NULL,5,1155,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2516,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lagurus,lagurus,Steppe lemming,38,44,20,21,4.5,5,25,1.35,5.8,20.3,NULL,3.8,671,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
2517,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lasiopodomys,brandtii,Brandt's vole,61,NotKnow,NotKnow,NotKnow,6,2.7,NULL,1.9,NULL,40,NULL,4.1,671,captivity,small,acceptable,NULL,NULL,0.428,40.2,unknown
2518,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,lemmus,Norway lemming,24,44,19,15,7,2.5,26,3.8,NULL,70,0.022,3.3,671,captivity,small,acceptable,NULL,NULL,1.071,80,310.95
2519,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lophiomys,imhausi,Crested rat,NotKnow,NotKnow,NotKnow,40,1.75,NULL,NULL,NULL,NULL,755,NULL,7.5,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2520,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,auratus,Golden hamster,48,48,16,20,9,3,NULL,2.45,22.93,105,0.0574,3.9,671,captivity,medium,acceptable,NULL,NULL,0.69,108.2,311.25
2521,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,brandti,Brandt's hamster,41,NotKnow,15,19,8,3,NULL,NULL,NULL,174,NULL,4.4,475,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
2522,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,agrestis,Field vole,36,42,21,13,4.4,3.6,20,2.3,8.9,46,NULL,4.8,671,captivity,small,acceptable,NULL,NULL,0.367,25,310.75
2523,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,arvalis,Common vole,38,56,21,20,5.1,5.5,20,1.85,8.9,27.5,0.0561,4.8,671,captivity,small,acceptable,NULL,NULL,0.343,21.9,310.15
2524,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,duodecimcostatus,Mediterranean pine vole,NotKnow,NotKnow,NotKnow,NotKnow,2.53,NULL,NULL,2.21,NULL,23,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2525,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,guentheri,Vole,60,95,21,18,6,3.3,29,3,15,51.6,NULL,3.9,671,captivity,small,acceptable,NULL,NULL,0.447,43.8,311.45
2526,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,longicaudus,Long-tailed vole,NotKnow,NotKnow,NotKnow,NotKnow,5.22,1.9,NULL,NULL,NULL,36.7,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.383,32.5,311.15
2527,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,ochrogaster,Prairie vole,47,NotKnow,23,20,3.8,4,26,3.02,16.7,40,0.0666,5.3,671,captivity,small,acceptable,NULL,NULL,0.41,48.2,311.05
2528,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,oeconomus,Tundra vole,30,48,22,19,7,3.5,29,2.43,18,58,0.0798,NULL,unknown,unknown,tiny,low,NULL,NULL,0.566,32.8,311.55
2529,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pennsylvanicus,Meadow vole,29,37,21,14,5.5,2.6,21,2.46,11.52,49,0.0397,NULL,unknown,unknown,small,low,NULL,NULL,0.428,38.2,311.65
2530,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pinetorum,Woodland vole,98,NotKnow,21,21,3,2.7,26,2.32,9.6,25.5,0.055,3.8,671,captivity,small,acceptable,NULL,NULL,0.305,24.8,311.45
2531,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,richardsoni,Water vole,NotKnow,NotKnow,22,21,5.8,2,NULL,5.05,31.1,51,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.701,64.5,311.85
2532,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,subterraneus,European pine vole,96,NotKnow,22,24,2.7,4,24,1.6,9.4,20,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.276,17.8,310.95
2533,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,glareolus,Bank vole,47,72,20,20,4.3,3.2,21,1.82,9.8,20.8,0.0809,4.9,671,captivity,small,acceptable,NULL,NULL,0.312,21.5,unknown
2534,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,rufocanus,Gray red-backed vole,62,NotKnow,NotKnow,NotKnow,4.1,2.8,30,2.25,10,29.5,NULL,NULL,unknown,unknown,tiny,low,NULL,NULL,0.321,27.2,unknown
2535,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myopus,schisticolor,Wood lemming,33,NotKnow,22,20,4.6,2,25,3.2,15.7,25,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.522,26.4,312.15
2536,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,albigula,White-throated woodrat,84,101,29,43,2,2,49,11.5,103.3,209,NULL,9.5,671,captivity,small,acceptable,NULL,NULL,0.735,177.6,309.15
2537,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,cinerea,Bushy-tailed woodrat,353,NotKnow,30,27,3.68,2,30,13.5,107,335.5,0.0442,NULL,unknown,unknown,tiny,low,NULL,NULL,1.152,256.5,unknown
2538,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,floridana,Eastern woodrat,95,NotKnow,33,22,3.5,2.5,83,13.43,45.9,291,0.0654,8.6,671,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
2539,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,lepida,Desert woodrat,76,76,33,31,3,3,60,8.45,35,236,NULL,10.5,671,captivity,small,acceptable,NULL,NULL,0.46,112.5,309.95
2540,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,micropus,Southern plains woodrat,136,NotKnow,35,26,2.51,2.4,NULL,11.7,35.6,236.3,0.0281,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2541,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nyctomys,sumichrasti,Vesper rat,NotKnow,NotKnow,30,21,2.25,5,38,4.7,40,50,NULL,5.7,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2542,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ochrotomys,nuttalli,Golden mouse,NotKnow,NotKnow,30,21,2.7,NULL,25,2.7,12.5,22,0.0591,8.4,671,captivity,small,acceptable,NULL,NULL,0.151,19.5,309.55
2543,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,zibethicus,Muskrat,285,285,26,25,6.7,2.7,30,22.72,152.1,1362,0.0323,NULL,unknown,unknown,tiny,low,NULL,NULL,4.363,976.3,310.55
2544,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,leucogaster,Northern grasshopper mouse,100,114,31,23,4,2.5,32,2.6,13.1,32.5,0.0634,5.6,671,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
2545,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,torridus,Southern grasshopper mouse,41,41,30,20,3.7,2.7,30,2.6,9.2,22,0.018,4.6,671,captivity,small,acceptable,NULL,NULL,0.165,19.1,309.15
2546,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,californicus,California mouse,46,NotKnow,30,30,2,4.6,24,4.46,18.6,42,NULL,5.5,671,captivity,small,acceptable,NULL,NULL,0.267,47,309.55
2547,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,crinitus,Canyon mouse,70,70,24,28,3,2.05,27,2.2,14.1,16.5,NULL,7.7,647,captivity,small,acceptable,NULL,NULL,0.162,20.5,308.85
2548,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,eremicus,Cactus mouse,129,NotKnow,26,25,2.6,3.5,39,2.33,NULL,25,NULL,7.4,671,captivity,medium,acceptable,NULL,NULL,0.173,21,309.75
2549,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,guatemalensis,Guatemalan deer mouse,NotKnow,NotKnow,NotKnow,NotKnow,1.9,NULL,NULL,NULL,NULL,40,NULL,5.7,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2550,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,leucopus,White-footed mouse,73,NotKnow,26,22,4.5,3.7,26,1.89,9.24,23,0.0456,7.9,671,captivity,small,acceptable,0.001,0.5,0.213,22.3,309.85
2551,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,Deer mouse,49,NotKnow,24,22,5,3,27,2,9.2,20.5,0.0643,8.3,434,captivity,medium,acceptable,NULL,NULL,0.219,20.5,309.75
2552,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,polionotus,Oldfield mouse,28,NotKnow,24,21,3.8,3,25,1.68,6.72,14,0.0558,5.5,671,captivity,medium,acceptable,NULL,NULL,0.12,12,unknown
2553,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,truei,Pinyon mouse,50,NotKnow,26,30,3.4,5,40,2.315,10.5,25,0.0481,5.4,671,captivity,small,acceptable,NULL,NULL,0.307,33.1,309.85
2554,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,intermedius,Western heather vole,37,NotKnow,22,19,4.58,2.3,NULL,2.18,15.3,33,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.375,21.5,311.05
2555,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,ungava,Eastern heather vole,38,NotKnow,23,21,4.9,NULL,NULL,2.4,10,27,0.0554,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2556,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,roborovskii,Desert hamster,243,NotKnow,21,19,6,3.5,NULL,1.45,18.1,NULL,NULL,4.8,671,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
2557,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,sungorus,Dzhungarian hamster,120,NotKnow,20,21,5.5,3.5,40,2,14.8,23.4,NULL,3.9,671,captivity,medium,acceptable,NULL,NULL,0.313,31.3,309.25
2558,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phyllotis,darwini,Darwin's leaf-eared mouse,NotKnow,NotKnow,34,NotKnow,4,NULL,NULL,NULL,NULL,50.8,NULL,NULL,unknown,unknown,tiny,low,NULL,NULL,0.333,47,309.35
2559,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Podomys,floridanus,Florida mouse,NotKnow,NotKnow,23,25,2.5,NULL,33,2.4,12.5,32,NULL,7.4,434,captivity,small,acceptable,NULL,NULL,0.288,30.8,unknown
2560,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodon,auritus,Bunny or coney rat,61,NotKnow,NotKnow,NotKnow,4.5,NULL,NULL,NULL,NULL,72.2,NULL,5.5,671,captivity,small,acceptable,NULL,NULL,0.428,78.7,unknown
2561,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,humulis,Eastern harvest mouse,105,NotKnow,23,23,2.9,NULL,32,1.115,NULL,10.3,0.0694,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2562,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,megalotis,Western harvest mouse,107,80,23,21,3.3,4.5,28,1.33,NULL,11,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.13,9,309.95
2563,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rhipidomys,nitela,Splendid climbing mouse,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2564,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Scotinomys,teguina,Alston's brown mouse,34,49,31,21,2.8,NULL,31,1.35,NULL,11.2,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.174,12,310.75
2565,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Hispid cotton rat,40,40,27,15,5,6.7,NULL,6.2,19.8,185,0.0362,5.2,671,captivity,medium,acceptable,NULL,NULL,1.085,159.6,311.25
2566,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,cooperi,Southern bog lemming,NotKnow,NotKnow,23,23,3,2.5,NULL,3.46,20,27,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2567,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Tscherskia,triton,Greater long-tailed hamster,NotKnow,NotKnow,NotKnow,NotKnow,4.2,NULL,NULL,5.2,NULL,25,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2568,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Tylomys,nudicaudus,Peters's climbing rat,82,109,40,26,2.4,6,39,16.77,40,280,0.0313,5.4,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2569,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Wiedomys,pyrrhorhinos,Red-nosed mouse,NotKnow,NotKnow,NotKnow,NotKnow,3.8,NULL,NULL,NULL,NULL,47,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2570,Animalia,Chordata,Mammalia,Rodentia,Ctenodactylidae,Ctenodactylus,gundi,Gundi,319,NotKnow,74,NotKnow,1.9,1,70,29.9,NULL,288.8,NULL,5.8,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2571,Animalia,Chordata,Mammalia,Rodentia,Ctenodactylidae,Pectinator,spekei,Speke's pectinator,NotKnow,NotKnow,NotKnow,NotKnow,1.2,NULL,NULL,NULL,NULL,178,0.0111,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2572,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,conoveri,Chaco tuco-tuco,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,860,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
2573,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,talarum,Tuco-tuco,243,243,102,36,4,1.5,NULL,8,NULL,100,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.611,121,309.25
2574,Animalia,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Lowland paca,365,365,116,78,1,1.5,191,680,NULL,9000,0.0165,16.3,671,captivity,small,acceptable,NULL,NULL,15.323,9156,310.35
2575,Animalia,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,taczanowskii,Mountain paca,NotKnow,NotKnow,NotKnow,NotKnow,1,2,NULL,NULL,NULL,8999.9,NULL,18.9,671,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
2576,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,azarae,Azara's agouti,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,2650,NULL,11.8,671,captivity,medium,acceptable,NULL,NULL,10.521,3849,310.65
2577,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,cristata,Crested agouti,NotKnow,NotKnow,NotKnow,NotKnow,2,NULL,NULL,NULL,NULL,2650,NULL,14,671,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
